iter	Passed	Remaining
0	0	96
1	1	84
2	2	79
3	3	72
4	3	69
5	4	67
6	5	67
7	5	67
8	6	66
9	7	67
10	8	67
11	9	69
12	10	68
13	10	66
14	11	65
15	12	63
16	12	62
17	13	61
18	14	61
19	15	60
20	15	58
21	16	57
22	17	56
23	17	56
24	18	55
25	19	55
26	20	54
27	20	53
28	21	52
29	22	51
30	22	50
31	23	49
32	24	49
33	24	48
34	25	47
35	26	46
36	26	45
37	27	45
38	28	44
39	28	43
40	29	42
41	29	41
42	30	40
43	31	40
44	32	39
45	32	38
46	33	37
47	34	37
48	35	36
49	35	35
50	36	35
51	37	34
52	37	33
53	38	32
54	38	31
55	39	31
56	40	30
57	41	29
58	41	29
59	42	28
60	43	27
61	44	26
62	44	26
63	45	25
64	46	24
65	46	24
66	47	23
67	48	22
68	48	21
69	49	21
70	50	20
71	50	19
72	51	19
73	52	18
74	52	17
75	53	16
76	54	16
77	55	15
78	55	14
79	56	14
80	57	13
81	57	12
82	58	12
83	59	11
84	59	10
85	60	9
86	61	9
87	61	8
88	62	7
89	63	7
90	64	6
91	64	5
92	65	4
93	66	4
94	66	3
95	67	2
96	68	2
97	69	1
98	69	0
99	70	0
